#NODE
n1,00:00:00:00:00:02,10.0.0.2,10.0.0.1
n2,00:00:00:00:00:08,20.0.0.2,20.0.0.1
n3,00:00:00:00:00:0C,30.0.0.2,30.0.0.1
n4,00:00:00:00:00:10,40.0.0.2,40.0.0.1
#ROUTER
r1,3,00:00:00:00:00:01,10.0.0.1,00:00:00:00:00:03,12.0.0.1,00:00:00:00:00:06,13.0.0.2
r2,3,00:00:00:00:00:07,20.0.0.1,00:00:00:00:00:09,24.0.0.1,00:00:00:00:00:04,12.0.0.2
r3,3,00:00:00:00:00:0B,30.0.0.1,00:00:00:00:00:05,13.0.0.1,00:00:00:00:00:0E,34.0.0.2
r4,3,00:00:00:00:00:0F,40.0.0.1,00:00:00:00:00:0D,34.0.0.1,00:00:00:00:00:0A,24.0.0.2
#ROUTERTABLE
r1,10.0.0.0,0.0.0.0,0
r1,12.0.0.0,0.0.0.0,1
r1,13.0.0.0,0.0.0.0,2
r1,20.0.0.0,12.0.0.2,1
r1,24.0.0.0,12.0.0.2,1
r1,30.0.0.0,13.0.0.1,2
r1,34.0.0.0,13.0.0.1,2
r1,40.0.0.0,12.0.0.2,1
r2,10.0.0.0,12.0.0.1,2
r2,12.0.0.0,0.0.0.0,2
r2,13.0.0.0,12.0.0.1,2
r2,20.0.0.0,0.0.0.0,0
r2,24.0.0.0,0.0.0.0,1
r2,30.0.0.0,12.0.0.1,2
r2,34.0.0.0,24.0.0.2,1
r2,40.0.0.0,24.0.0.2,1
r3,10.0.0.0,13.0.0.2,1
r3,12.0.0.0,13.0.0.2,1
r3,13.0.0.0,0.0.0.0,1
r3,20.0.0.0,13.0.0.2,1
r3,24.0.0.0,34.0.0.1,2
r3,30.0.0.0,0.0.0.0,0
r3,34.0.0.0,0.0.0.0,2
r3,40.0.0.0,34.0.0.1,2
r4,10.0.0.0,34.0.0.2,1
r4,12.0.0.0,24.0.0.1,2
r4,13.0.0.0,34.0.0.2,1
r4,20.0.0.0,24.0.0.1,2
r4,24.0.0.0,0.0.0.0,2
r4,30.0.0.0,34.0.0.2,1
r4,34.0.0.0,0.0.0.0,1
r4,40.0.0.0,0.0.0.0,0
#LINK
n1,0,r1,0
n2,0,r2,0
n3,0,r3,0
n4,0,r4,0
r1,1,r2,2
r2,1,r4,2
r3,1,r1,2
r4,1,r3,2
